#;MsgType;Timestamp;Lat;Lon;SpeedKnots;SpeedKmph;TrueHeading;MagnHeading
243;GSV;;;;;;;
244;;;;;;;;NMEA message parser not found for GRM.
245;RMC;12/26/2016 9:41:38 PM;49.2097175833333;16.5984491833333;;;;
246;;;;;;;;NMEA message parser not found for RMB.
247;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
248;GSA;;;;;;;
249;GSV;;;;;;;
250;GSV;;;;;;;
251;;;;;;;;NMEA message parser not found for GRM.
252;RMC;12/26/2016 9:41:39 PM;49.2097148333333;16.59843955;;;;
253;;;;;;;;NMEA message parser not found for RMB.
254;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
255;GSA;;;;;;;
256;GSV;;;;;;;
257;GSV;;;;;;;
258;;;;;;;;NMEA message parser not found for GRM.
259;RMC;12/26/2016 9:41:40 PM;49.2097120666667;16.5984299333333;;;;
260;;;;;;;;NMEA message parser not found for RMB.
261;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
262;GSA;;;;;;;
263;GSV;;;;;;;
264;GSV;;;;;;;
265;;;;;;;;NMEA message parser not found for GRM.
266;RMC;12/26/2016 9:41:41 PM;49.2097093166667;16.5984203;;;;
267;;;;;;;;NMEA message parser not found for RMB.
268;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
269;GSA;;;;;;;
270;GSV;;;;;;;
271;GSV;;;;;;;
272;;;;;;;;NMEA message parser not found for GRM.
273;RMC;12/26/2016 9:41:42 PM;49.2097065666667;16.5984106833333;;;;
274;;;;;;;;NMEA message parser not found for RMB.
275;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
276;GSA;;;;;;;
277;GSV;;;;;;;
278;GSV;;;;;;;
279;;;;;;;;NMEA message parser not found for GRM.
280;RMC;12/26/2016 9:41:43 PM;49.2097038166667;16.5984010666667;;;;
281;;;;;;;;NMEA message parser not found for RMB.
282;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
283;GSA;;;;;;;
284;GSV;;;;;;;
285;GSV;;;;;;;
286;;;;;;;;NMEA message parser not found for GRM.
287;RMC;12/26/2016 9:41:44 PM;49.20970105;16.5983914333333;;;;
288;;;;;;;;NMEA message parser not found for RMB.
289;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
290;GSA;;;;;;;
291;GSV;;;;;;;
292;GSV;;;;;;;
293;;;;;;;;NMEA message parser not found for GRM.
294;RMC;12/26/2016 9:41:45 PM;49.2096983;16.5983818166667;;;;
295;;;;;;;;NMEA message parser not found for RMB.
296;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
297;GSA;;;;;;;
298;GSV;;;;;;;
299;GSV;;;;;;;
300;;;;;;;;NMEA message parser not found for GRM.
301;RMC;12/26/2016 9:41:46 PM;49.20969555;16.5983721833333;;;;
302;;;;;;;;NMEA message parser not found for RMB.
303;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
304;GSA;;;;;;;
305;GSV;;;;;;;
306;GSV;;;;;;;
307;;;;;;;;NMEA message parser not found for GRM.
308;RMC;12/26/2016 9:41:47 PM;49.2096927833333;16.5983625666667;;;;
309;;;;;;;;NMEA message parser not found for RMB.
310;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
311;GSA;;;;;;;
312;GSV;;;;;;;
313;GSV;;;;;;;
314;;;;;;;;NMEA message parser not found for GRM.
315;RMC;12/26/2016 9:41:48 PM;49.2096900333333;16.59835295;;;;
316;;;;;;;;NMEA message parser not found for RMB.
317;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
318;GSA;;;;;;;
319;GSV;;;;;;;
320;GSV;;;;;;;
321;;;;;;;;NMEA message parser not found for GRM.
322;RMC;12/26/2016 9:41:49 PM;49.2096872833333;16.5983433166667;;;;
323;;;;;;;;NMEA message parser not found for RMB.
324;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
325;GSA;;;;;;;
326;GSV;;;;;;;
327;GSV;;;;;;;
328;;;;;;;;NMEA message parser not found for GRM.
329;RMC;12/26/2016 9:41:50 PM;49.2096845333333;16.5983337;;;;
330;;;;;;;;NMEA message parser not found for RMB.
331;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
332;GSA;;;;;;;
333;GSV;;;;;;;
334;GSV;;;;;;;
335;;;;;;;;NMEA message parser not found for GRM.
